year,month,rank_ME,rank_IA,rank_ROE,nstocks,ret_vw,retx_vw
1967,1,1,1,1,46,17.2062,17.0241
1967,1,1,1,2,14,11.1319,11.1319
1967,1,1,1,3,10,12.6761,12.6334
1967,1,1,2,1,20,13.4091,13.2154
1967,1,1,2,2,31,13.3693,13.2445
1967,1,1,2,3,20,18.4505,18.2611
1967,1,1,3,1,19,12.9631,12.8667
1967,1,1,3,2,17,15.8637,15.8070
1967,1,1,3,3,39,22.4128,22.2447
1967,1,2,1,1,48,9.4578,9.0807
1967,1,2,1,2,49,3.4997,3.2943
1967,1,2,1,3,12,10.7050,10.6512
1967,1,2,2,1,43,5.6550,5.4614
1967,1,2,2,2,84,6.3084,6.0479
1967,1,2,2,3,47,9.1583,9.1269
1967,1,2,3,1,17,12.7805,12.6233
1967,1,2,3,2,46,8.8778,8.7610
1967,1,2,3,3,62,9.5850,9.5077
1967,2,1,1,1,42,2.1763,1.7360
1967,2,1,1,2,18,2.5606,1.8369
1967,2,1,1,3,13,3.7352,3.4082
1967,2,1,2,1,29,-0.5539,-1.0984
1967,2,1,2,2,28,3.7514,3.3523
1967,2,1,2,3,18,3.9914,3.7153
1967,2,1,3,1,21,-1.5921,-2.2383
1967,2,1,3,2,22,-0.9846,-1.3779
1967,2,1,3,3,37,5.1327,4.9636
1967,2,2,1,1,45,-0.4983,-1.1087
1967,2,2,1,2,46,-1.8828,-2.6428
1967,2,2,1,3,20,-0.6215,-0.9678
1967,2,2,2,1,42,-1.6000,-2.4847
1967,2,2,2,2,85,-0.4069,-0.8086
1967,2,2,2,3,48,4.1045,3.8171
1967,2,2,3,1,18,-0.0309,-0.4729
1967,2,2,3,2,54,1.5107,1.1674
1967,2,2,3,3,53,2.7960,2.6219
1967,3,1,1,1,43,5.8795,5.4811
1967,3,1,1,2,16,3.1344,3.0125
1967,3,1,1,3,19,11.7186,11.3897
1967,3,1,2,1,33,4.0928,3.8028
1967,3,1,2,2,26,6.4056,6.1743
1967,3,1,2,3,22,5.8860,5.5047
1967,3,1,3,1,23,5.7613,5.5926
1967,3,1,3,2,21,9.5188,9.2780
1967,3,1,3,3,40,9.3333,9.1197
1967,3,2,1,1,41,3.9320,3.6960
1967,3,2,1,2,48,3.4889,3.3385
1967,3,2,1,3,22,5.6657,5.4946
1967,3,2,2,1,46,4.3985,4.3247
1967,3,2,2,2,85,2.1950,2.0590
1967,3,2,2,3,44,4.1477,3.9995
1967,3,2,3,1,18,8.5607,8.4184
1967,3,2,3,2,56,4.3950,4.1724
1967,3,2,3,3,50,6.9235,6.7372
